Price,Close,High,Low,Open,Volume
Ticker,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
Date,,,,,
2021-12-22,128.5784454345703,129.50346499288455,126.31372447581842,127.46203625359718,14750231
2021-12-23,132.91651916503906,133.71395450077736,128.89745286037257,129.18452438960205,15932489
2021-12-24,131.0345458984375,133.1397668982227,130.6836692422628,132.8207928395503,8975969
2021-12-27,131.4811248779297,132.2147679230189,130.77938443531423,131.0345663178352,8648187
2021-12-28,131.16212463378906,133.1078714988203,129.69485181507355,131.83197531954397,15736206
2021-12-29,130.52418518066406,131.35352294370406,129.31208113433172,129.50347076552188,17172943
2021-12-30,131.00265502929688,134.86224667640815,128.64225197543485,130.52419389845278,87481206
2021-12-31,130.39662170410156,131.54492073854044,129.85436830069236,130.14143981452958,9842223
2022-01-03,130.7793731689453,132.02336689281935,130.23711982723327,131.03455502948293,7410054
2022-01-04,134.35186767578125,135.8829457162893,131.09833495163124,131.6086986248297,14784090
2022-01-05,133.10789489746094,134.83034985063435,132.7251285722101,133.96912237404763,9565107
2022-01-06,131.3854217529297,133.13977923822978,130.55609691096842,132.5337336622162,5615931
2022-01-07,130.906982421875,133.01221694647722,130.46042381560957,132.0233919166296,11908249
2022-01-10,130.14144897460938,132.2147808822931,129.79057222936498,132.2147808822931,11085710
2022-01-11,130.04574584960938,131.2897527023987,129.8224665619057,130.49231740410687,7208789
2022-01-12,130.74746704101562,131.863876294039,130.3647007500824,131.41731778446493,11018139
2022-01-13,132.69322204589844,134.92604068609384,131.76820237231024,132.43804017691545,20522807
2022-01-14,132.53375244140625,133.74585674426973,131.76821971280336,132.66133690314317,14183654
2022-01-17,131.64060974121094,133.68205178831326,131.28974601528753,133.42686991003927,7574539
2022-01-18,130.87506103515625,132.59751578885968,130.52418437317434,131.57680138003218,8475422
2022-01-19,130.55612182617188,132.31047964627192,128.25951054840465,131.41734943294816,13724367
2022-01-20,136.9355926513672,137.3821512288384,131.03457141673485,132.11907823578795,30170343
2022-01-21,137.22265625,139.87014389560937,135.88296761580295,136.45712359591295,29509593
2022-01-24,136.5209197998047,138.9132256374181,134.92604924139576,138.05199813169523,12850189
2022-01-25,139.61495971679688,140.47618718322272,135.21311458062243,136.20193947335272,27389035
2022-01-27,137.06317138671875,139.90204873071102,135.4683008493376,139.07271085963694,28512473
2022-01-28,134.0967254638672,138.75375317588984,133.49067977956298,138.75375317588984,18932049
2022-01-31,137.4140625,138.27529008463975,134.7346719288984,135.24503574599137,19907759
2022-02-01,135.85104370117188,138.46664131365293,134.7984397117105,138.43473871678367,8622355
2022-02-02,136.5209197998047,138.9451282402222,136.042458632282,137.06317319384576,9921099
2022-02-03,134.79847717285156,137.15888062452086,134.6070874966228,136.52093234254636,4594389
2022-02-04,133.77772521972656,136.1062386214645,133.39495891594098,135.24501119317478,7329263
2022-02-07,136.29762268066406,136.71229156740213,133.96910937429325,134.63896011279996,7869237
2022-02-08,134.00100708007812,137.41402690798432,133.01218230773804,136.52089694894937,9074237
2022-02-09,133.554443359375,135.02172930427975,133.13977446372033,134.35187855136923,9833985
2022-02-10,135.2769317626953,137.60543249465226,134.00103526119983,134.00103526119983,19180334
2022-02-11,132.56565856933594,135.24503616974155,132.08719735647128,134.09672406722999,20071130
2022-02-14,128.76983642578125,132.02336951988252,128.38707011690266,132.02336951988252,12109375
2022-02-15,129.79055786132812,130.04573974061216,126.95169352440315,128.86553815039917,19046061
2022-02-16,128.70870971679688,131.79036974306368,128.31529495624272,130.21675071998038,20270061
2022-02-17,129.1676483154297,130.380641329638,128.511974973727,129.98723999255805,16405551
2022-02-18,128.31527709960938,131.23303168921902,128.02022940996434,129.03652850044702,14600643
2022-02-21,129.92172241210938,130.47904228659695,128.21697377379496,128.3153141389239,10682638
2022-02-22,129.92172241210938,130.1184164820804,125.75819785130884,127.33180376992945,13606058
2022-02-23,129.8561248779297,130.80684599160887,129.56106383803254,130.05281889815137,6493463
2022-02-24,125.2991943359375,128.511996927056,124.51239152737035,127.20065001963707,13145037
2022-02-25,129.3643798828125,129.75778129357363,125.9876588726672,126.24993092641154,10920938
2022-02-28,137.13409423828125,137.85533231013076,128.54477536870726,129.46270745667422,31938385
2022-03-02,138.2815399169922,139.75680525037464,135.1998665500999,136.2161657823145,20502615
2022-03-03,142.83848571777344,143.82199608076897,138.15041698621886,138.15041698621886,19805555
2022-03-04,141.0025634765625,142.60895789629237,138.3142919892791,141.5926588374697,12794317
2022-03-07,139.52732849121094,141.10093424600538,136.93741011866425,138.01927407986923,17635653
2022-03-08,139.23226928710938,146.4774670181122,137.56030981514004,140.31413326292005,28410490
2022-03-09,136.4456329345703,141.62545550284787,135.46212282691164,141.06813577644985,22830958
2022-03-10,136.93740844726562,138.609381215967,135.75720414557486,138.34710914679854,16516553
2022-03-11,139.29782104492188,139.65844678329822,136.21616112314652,137.2324603205994,12992850
2022-03-14,139.92071533203125,140.31411672968642,137.42915091403117,139.29781755767607,12598659
2022-03-15,137.46194458007812,141.0025839583734,136.576788070432,139.7895773765764,14528285
2022-03-16,137.26524353027344,138.87165159708394,137.002971464293,138.51102583889693,11933774
2022-03-17,138.70773315429688,139.49453601213528,136.21616853828957,139.00278089105842,28464621
2022-03-21,134.34750366210938,141.62547688989793,134.0852315925191,141.62547688989793,17797415
2022-03-22,136.8390350341797,137.3635790969253,133.79016435606337,134.41304875832788,13285297
2022-03-23,137.75698852539062,138.08482524883976,136.57678432479995,137.36358712519373,9408783
2022-03-24,138.18316650390625,138.47821419258605,136.3800646871293,137.6914114629671,11188958
2022-03-25,137.46194458007812,138.2159717326325,135.52769985485503,138.1831827235042,9842670
2022-03-28,139.19947814941406,139.49452586471259,136.05224026758103,137.4619408467294,12823578
2022-03-29,138.5438232421875,140.60918420508338,137.49473491471454,140.21578275213713,10470515
2022-03-30,142.34669494628906,143.39576973658188,138.87163386971218,139.72400130070213,54218485
2022-03-31,142.1500244140625,142.4450721620577,140.8058883627245,141.33043251439588,10326026
2022-04-01,147.55934143066406,148.0183075911857,141.69105500849255,141.69105500849255,39663961
2022-04-04,149.10015869140625,149.55912481205817,146.90365510306623,148.18221311039068,9907530
2022-04-05,152.8046875,153.82097324152693,148.7722935198534,150.77208933752783,17167487
2022-04-06,155.16513061523438,156.34533486708125,151.55892650067656,151.690055859867,17153675
2022-04-07,151.69004821777344,157.29606148567777,150.80489173855443,154.70614338460246,11913911
2022-04-08,152.50965881347656,153.49316909818046,151.19831176720467,152.77193089067333,6746769
2022-04-11,151.39500427246094,154.44388852317056,149.75582062581177,152.4440791383743,12413822
2022-04-12,152.83749389648438,153.1981196661333,149.8869630747773,150.31315352807735,14769907
2022-04-13,150.47706604003906,154.31275329076445,149.19850806970103,154.05048122667398,11015439
2022-04-18,151.526123046875,151.98510243971154,149.19849043500375,150.47704825422107,19069923
2022-04-19,149.3951873779297,153.00139121928274,148.51003092117594,152.57520082463537,15036942
2022-04-20,148.83787536621094,150.149222285737,146.51022924816786,149.65746719091473,9814641
2022-04-21,149.0017852783203,149.9197307378559,147.69043843318659,148.24775817442642,11134333
2022-04-22,147.8215789794922,150.93602797260834,147.32982387531595,147.55932026236695,12032249
2022-04-25,146.1168212890625,148.77230401792778,145.23166482601079,146.83805939452282,11042683
2022-04-26,151.85397338867188,152.24737480377792,147.10034071850586,148.8378780865777,15389155
2022-04-27,150.34591674804688,152.67354932648533,149.13291027988805,151.6900392213033,12680209
2022-04-28,154.47669982910156,154.902890343492,150.83771929787633,153.03422322316408,18378146
2022-04-29,149.32962036132812,154.96840906597637,148.8706543064198,154.14881729670455,9026331
